;"Bir okul bitirmedi
No school completed";;;;"     Ýlkokul
Primary school";;;;"Ýlköðretim /Ortaokul veya mesleki ortaokul
Secondary and vocational secondary school ";;;;"Lise veya Mesleki lise
High and vocational high school";;;;"Üniversite / yüksek lisans / doktora
Higher education";;
"Yýl 
Year";Toplam Total;"Erkek
Male";Kadýn Female;;Toplam Total;"Erkek
Male";Kadýn Female;;Toplam Total;"Erkek
Male";Kadýn Female;;Toplam Total;"Erkek
Male";Kadýn Female;;Toplam Total;"Erkek
Male";Kadýn Female
2004;0,7;2,0;0,2;;1,3;2,3;0,4;;17,6;22,5;9,5;;29,8;37,7;19,3;;60,1;61,4;58,0
2005;0,4;1,0;0,2;;1,7;3,1;0,3;;15,1;18,3;9,8;;32,9;36,5;27,1;;62,6;65,7;57,9
2007;0,8;2,6;0,2;;6,4;9,0;3,9;;31,3;36,4;23,3;;59,8;66,8;49,1;;82,7;83,9;80,7
2008;2,1;6,5;0,8;;9,8;14,0;5,9;;41,1;45,2;35,6;;64,4;69,7;57,0;;86,6;87,6;85,1
2009;2,1;5,6;1,1;;11,1;14,5;7,7;;52,4;58,6;43,5;;70,6;76,0;62,4;;87,7;89,0;85,8
2010;2,8;8,7;1,1;;14,0;18,7;9,6;;54,0;59,7;46,2;;69,9;72,1;66,6;;89,6;90,1;88,8
2011;2,8;6,8;1,6;;15,7;20,0;11,5;;57,7;63,8;49,7;;73,3;75,6;70,2;;91,0;91,5;90,3
2012;3,5;10,0;1,6;;17,7;22,0;13,5;;57,6;63,8;49,4;;76,4;79,7;71,3;;93,0;93,1;92,8
2013;2,6;6,1;1,5;;17,9;22,5;13,4;;59,4;65,9;50,7;;74,5;76,5;71,6;;91,7;91,9;91,4
2014;3,2;9,0;1,6;;22,4;28,2;17,0;;64,3;69,0;58,1;;79,2;81,1;76,7;;93,6;93,7;93,5
2015;6,1;11,7;4,6;;25,9;31,2;20,9;;67,2;73,5;58,9;;80,6;81,7;78,8;;94,1;94,0;94,3
2016;7,4;14,1;5,6;;34,7;40,1;29,3;;75,8;79,9;70,5;;86,4;86,8;85,9;;95,6;95,6;95,7
2017;12,2;19,6;10,0;;43,0;46,5;39,8;;82,0;84,2;79,1;;89,8;90,3;89,0;;97,0;96,9;97,3
2018;16,2;25,4;13,6;;54,0;57,3;50,9;;86,5;87,6;84,9;;92,3;91,7;93,2;;97,7;97,6;98,0
2019;18,7;25,3;17,0;;59,0;60,2;57,8;;87,3;88,9;85,1;;94,5;94,5;94,6;;98,0;97,5;98,7
2020;22,3;31,6;19,7;;64,1;66,4;61,9;;89,0;89,8;87,8;;94,8;94,8;94,8;;98,7;98,2;99,2
2021;28,9;37,4;27,0;;67,5;69,3;65,8;;92,3;93,3;90,8;;96,4;95,9;97,0;;99,1;98,8;99,4
2022;30,5;37,1;28,9;;71,6;72,5;70,8;;92,1;92,8;91,2;;96,4;96,3;96,6;;99,0;98,5;99,4
2023;35,3;39,0;34,4;;75,9;76,9;75,0;;93,6;94,6;92,3;;97,2;96,7;98,0;;99,4;99,3;99,5
2024;39,0;43,0;38,0;;77,6;78,3;76,9;;94,0;94,6;93,3;;97,6;97,2;98,2;;99,4;99,4;99,4
